"","x"
"1","High"
"2","Low"
"3","High"
"4","High"
"5","High"
"6","High"
"7","High"
"8","Low"
"9","High"
"10","High"
"11","High"
"12","Low"
"13","Low"
"14","High"
"15","Low"
"16","Low"
"17","Low"
"18","Low"
"19","High"
"20","High"
"21","High"
"22","High"
"23","Low"
"24","High"
"25","High"
"26","Low"
"27","Low"
"28","High"
"29","Low"
"30","Low"
"31","Low"
"32","Low"
"33","High"
"34","Low"
"35","Low"
"36","Low"
"37","Low"
"38","Low"
"39","Low"
"40","Low"
"41","Low"
"42","High"
"43","Low"
"44","High"
"45","High"
"46","High"
"47","High"
"48","Low"
"49","Low"
"50","Low"
"51","High"
"52","Low"
"53","High"
"54","High"
"55","High"
"56","High"
"57","Low"
"58","Low"
"59","High"
"60","High"
"61","High"
"62","High"
"63","High"
"64","High"
"65","High"
"66","Low"
"67","High"
"68","High"
"69","High"
"70","High"
"71","High"
"72","High"
"73","High"
"74","Low"
"75","Low"
"76","Low"
"77","Low"
"78","High"
"79","Low"
"80","High"
"81","High"
"82","High"
"83","Low"
"84","Low"
"85","High"
"86","High"
"87","Low"
"88","Low"
"89","High"
"90","Low"
"91","High"
"92","High"
"93","High"
"94","Low"
"95","Low"
"96","Low"
"97","Low"
"98","Low"
"99","Low"
"100","Low"
"101","Low"
"102","Low"
"103","Low"
"104","Low"
"105","High"
"106","Low"
"107","Low"
"108","Low"
"109","Low"
"110","High"
"111","High"
"112","High"
"113","Low"
"114","Low"
"115","Low"
"116","Low"
"117","High"
"118","High"
"119","Low"
"120","High"
"121","Low"
"122","Low"
"123","Low"
"124","Low"
"125","High"
"126","High"
"127","High"
"128","High"
"129","High"
"130","High"
